Frame,Time,Angle,BrailleFlag,PosX,PosY,PosZ,RotX,RotY,RotZ
27,1.966,13.10,1,10.357,0.020,14.575,0.00,13.43,0.00
28,2.024,13.10,1,10.357,0.020,14.575,0.00,13.43,0.00
29,2.083,13.10,1,10.357,0.020,14.575,0.00,13.43,0.00
30,2.139,13.10,1,10.357,0.020,14.575,0.00,13.43,0.00
31,2.195,13.10,1,10.357,0.020,14.575,0.00,13.43,0.00
32,2.251,13.10,1,10.357,0.020,14.575,0.00,13.43,0.00
33,2.307,13.10,1,10.357,0.020,14.575,0.00,13.43,0.00
34,2.362,13.10,1,10.357,0.020,14.575,0.00,13.43,0.00
35,2.417,13.10,1,10.357,0.020,14.575,0.00,13.43,0.00
36,2.472,13.10,1,10.357,0.020,14.575,0.00,13.43,0.00
37,2.528,13.10,1,10.357,0.020,14.575,0.00,13.43,0.00
38,2.584,13.10,1,10.280,0.020,14.594,0.00,13.43,0.00
39,2.708,13.10,1,9.979,0.020,14.666,0.00,13.43,0.00
40,2.766,13.10,1,9.838,0.020,14.699,0.00,13.43,0.00
41,2.821,13.10,1,9.704,0.020,14.731,0.00,13.43,0.00
42,2.876,13.10,1,9.571,0.020,14.763,0.00,13.43,0.00
43,2.959,13.10,1,9.369,0.020,14.811,0.00,13.43,0.00
44,3.018,13.10,1,9.226,0.020,14.845,0.00,10.00,0.00
45,3.075,16.53,1,9.086,0.020,14.870,0.00,5.34,0.00
46,3.131,21.19,1,8.946,0.020,14.883,0.00,0.14,0.00
47,3.191,26.39,1,8.797,0.020,14.883,0.00,357.92,0.00
48,3.248,28.61,1,8.653,0.020,14.878,0.00,357.02,0.00
49,3.305,29.51,1,8.512,0.020,14.871,0.00,356.63,0.00
50,3.360,29.90,1,8.374,0.020,14.863,0.00,356.46,0.00
51,3.415,30.07,1,8.238,0.020,14.854,0.00,356.38,0.00
52,3.470,30.15,1,8.100,0.020,14.846,0.00,356.35,0.00
53,3.525,30.18,1,7.963,0.020,14.837,0.00,356.33,0.00
54,3.580,30.20,1,7.826,0.020,14.828,0.00,356.32,0.00
55,3.635,30.21,1,7.688,0.020,14.819,0.00,353.23,0.00
56,3.693,33.30,1,7.544,0.020,14.802,0.00,348.52,0.00
57,3.748,38.01,1,7.409,0.020,14.775,0.00,346.51,0.00
58,3.806,40.02,1,7.269,0.020,14.741,0.00,345.62,0.00
59,3.861,40.91,1,7.135,0.020,14.707,0.00,345.23,0.00
60,3.919,41.30,1,6.996,0.020,14.670,0.00,345.06,0.00
61,3.980,41.47,1,6.847,0.020,14.630,0.00,344.99,0.00
62,4.045,41.54,1,6.692,0.020,14.589,0.00,344.97,0.00
63,4.099,41.56,1,6.560,0.020,14.553,0.00,344.96,0.00
64,4.164,41.57,1,6.404,0.020,14.512,0.00,344.95,0.00
65,4.223,41.58,1,6.260,0.020,14.473,0.00,344.95,0.00
66,4.282,41.58,1,6.118,0.020,14.435,0.00,344.95,0.00
67,4.341,41.58,1,5.975,0.020,14.396,0.00,344.95,0.00
68,4.403,41.58,1,5.827,0.020,14.356,0.00,344.95,0.00
69,4.466,41.58,1,5.674,0.020,14.315,0.00,344.95,0.00
70,4.528,41.58,1,5.525,0.020,14.275,0.00,344.95,0.00
71,4.604,41.58,1,5.340,0.020,14.225,0.00,344.95,0.00
72,4.662,41.58,1,5.202,0.020,14.188,0.00,344.95,0.00
73,4.716,41.58,1,5.071,0.020,14.153,0.00,344.95,0.00
74,4.768,41.58,1,4.945,0.020,14.119,0.00,344.95,0.00
75,4.822,41.58,1,4.816,0.020,14.084,0.00,344.95,0.00
76,4.875,41.58,1,4.686,0.020,14.050,0.00,344.95,0.00
77,4.928,41.58,1,4.558,0.020,14.015,0.00,344.95,0.00
78,4.980,41.58,1,4.433,0.020,13.981,0.00,344.95,0.00
79,5.034,41.58,1,4.303,0.020,13.947,0.00,344.95,0.00
80,5.089,41.58,1,4.170,0.020,13.911,0.00,344.95,0.00
81,5.144,41.58,1,4.037,0.020,13.875,0.00,344.95,0.00
82,5.197,41.58,1,3.910,0.020,13.841,0.00,344.95,0.00
83,5.249,41.58,1,3.784,0.020,13.807,0.00,344.95,0.00
84,5.302,41.58,1,3.656,0.020,13.773,0.00,344.95,0.00
85,5.355,41.58,1,3.527,0.020,13.738,0.00,344.95,0.00
86,5.407,41.58,1,3.402,0.020,13.704,0.00,344.95,0.00
87,5.460,41.58,1,3.275,0.020,13.670,0.00,344.95,0.00
88,5.513,41.58,1,3.146,0.020,13.635,0.00,344.95,0.00
89,5.565,41.58,1,3.022,0.020,13.602,0.00,344.95,0.00
90,5.616,41.58,1,2.899,0.020,13.569,0.00,344.95,0.00
91,5.666,41.58,1,2.776,0.020,13.536,0.00,344.95,0.00
