Frame,Time,Angle,BrailleFlag,PosX,PosY,PosZ,RotX,RotY,RotZ
26,0.800,12.96,0,-4.100,0.395,72.500,0.00,5.79,0.00
27,0.833,12.96,0,-4.100,0.395,72.500,0.00,5.79,0.00
28,0.867,13.06,0,-4.100,0.395,72.500,0.00,5.79,0.00
29,0.900,13.09,0,-4.100,0.395,72.500,0.00,5.79,0.00
30,0.933,13.08,0,-4.100,0.395,72.500,0.00,5.79,0.00
31,0.967,13.07,0,-4.100,0.395,72.500,0.00,5.79,0.00
32,1.000,13.07,0,-4.100,0.395,72.500,0.00,5.79,0.00
33,1.033,13.07,0,-4.100,0.395,72.500,0.00,5.79,0.00
34,1.067,13.07,0,-4.100,0.395,72.500,0.00,5.79,0.00
35,1.100,13.07,0,-4.100,0.395,72.500,0.00,5.79,0.00
36,1.133,13.07,0,-4.100,0.395,72.500,0.00,5.79,0.00
37,1.167,13.07,0,-4.100,0.395,72.500,0.00,5.79,0.00
38,1.200,13.07,0,-4.100,0.395,72.500,0.00,5.79,0.00
39,1.233,13.07,0,-4.100,0.395,72.500,0.00,5.79,0.00
40,1.267,13.07,0,-4.100,0.395,72.500,0.00,5.79,0.00
41,1.300,13.07,0,-4.100,0.395,72.500,0.00,5.79,0.00
42,1.333,13.07,0,-4.100,0.395,72.500,0.00,5.79,0.00
43,1.367,13.07,0,-4.100,0.395,72.500,0.00,5.79,0.00
44,1.400,13.07,0,-4.100,0.395,72.500,0.00,5.79,0.00
45,1.433,13.07,0,-4.100,0.395,72.500,0.00,5.79,0.00
46,1.467,13.07,0,-4.128,0.395,72.503,0.00,5.79,0.00
47,1.500,13.07,0,-4.174,0.395,72.507,0.00,5.79,0.00
48,1.533,13.07,0,-4.232,0.395,72.513,0.00,5.79,0.00
49,1.567,13.07,0,-4.299,0.395,72.520,0.00,5.79,0.00
50,1.600,13.07,0,-4.371,0.395,72.527,0.00,5.79,0.00
51,1.633,13.07,0,-4.446,0.395,72.535,0.00,5.79,0.00
52,1.667,13.07,0,-4.524,0.395,72.543,0.00,4.68,0.00
53,1.700,14.18,0,-4.604,0.395,72.550,0.00,2.83,0.00
54,1.733,16.03,0,-4.685,0.395,72.554,0.00,1.59,0.00
55,1.767,17.27,0,-4.767,0.395,72.556,0.00,0.77,0.00
56,1.800,18.09,0,-4.849,0.395,72.557,0.00,0.22,0.00
57,1.833,18.64,0,-4.932,0.395,72.557,0.00,359.85,0.00
58,1.867,19.01,0,-5.015,0.395,72.557,0.00,359.61,0.00
59,1.900,19.25,0,-5.098,0.395,72.556,0.00,0.56,0.00
60,1.933,18.30,0,-5.181,0.395,72.557,0.00,1.19,0.00
61,1.967,17.67,0,-5.264,0.395,72.559,0.00,1.61,0.00
62,2.000,17.25,0,-5.348,0.395,72.561,0.00,1.89,0.00
63,2.033,16.97,0,-5.431,0.395,72.564,0.00,2.08,0.00
64,2.067,16.78,0,-5.514,0.395,72.567,0.00,2.21,0.00
65,2.100,16.65,0,-5.597,0.395,72.570,0.00,2.29,0.00
66,2.133,16.57,0,-5.681,0.395,72.574,0.00,2.35,0.00
67,2.167,16.51,0,-5.764,0.395,72.577,0.00,2.38,0.00
68,2.200,16.48,0,-5.847,0.395,72.581,0.00,2.41,0.00
69,2.233,16.45,0,-5.930,0.395,72.584,0.00,2.42,0.00
70,2.267,16.44,0,-6.014,0.395,72.588,0.00,2.43,0.00
71,2.300,16.43,0,-6.097,0.395,72.591,0.00,2.44,0.00
72,2.333,16.42,0,-6.180,0.395,72.595,0.00,2.45,0.00
73,2.367,16.41,0,-6.263,0.395,72.598,0.00,2.45,0.00
74,2.400,16.41,0,-6.347,0.395,72.602,0.00,2.45,0.00
75,2.433,16.41,0,-6.430,0.395,72.605,0.00,2.45,0.00
76,2.467,16.41,0,-6.513,0.395,72.609,0.00,2.45,0.00
77,2.500,16.41,0,-6.596,0.395,72.612,0.00,2.46,0.00
78,2.533,16.40,0,-6.680,0.395,72.616,0.00,2.46,0.00
79,2.567,16.40,0,-6.763,0.395,72.620,0.00,2.46,0.00
80,2.600,16.40,0,-6.846,0.395,72.623,0.00,2.46,0.00
